onset	duration	trial_type	taskName	trialType	trialDur	response_time	blockNum	setSize	possCorr	boldRun	condition	numCorr	numErr	numTrial	respMade	runNum	startTRreal	startTime	startTimeReal	timeOfTR
6.042228900000001	5.0	Instruct	instruct2	n/a	5.0	n/a	n/a	n/a	n/a	4	n/a	n/a	n/a	0.0	n/a	n/a	n/a	n/a	n/a	n/a
11.0422289	2.0	Object2Back	nBackPic2	n/a	1.6	0.0	1.0	n/a	0.0	4	2.0	0.0	n/a	1.0	0.0	62.0	12.0	0.0	0.0407599	-0.001961933
13.002929	2.0	Object2Back	nBackPic2	n/a	1.6	0.0	1.0	n/a	0.0	4	2.0	0.0	n/a	2.0	0.0	62.0	14.0	2.0	2.00146	1.998523
15.001919	2.0	Object2Back	nBackPic2	n/a	1.6	0.0	1.0	n/a	0.0	4	2.0	0.0	n/a	3.0	0.0	62.0	16.0	4.0	4.00045	3.997208
17.001629	2.0	Object2Back	nBackPic2	n/a	1.6	0.59362	1.0	n/a	1.0	4	1.0	1.0	n/a	4.0	1.0	62.0	18.0	6.0	6.00016	5.9988839999999986
19.003119	2.0	Object2Back	nBackPic2	n/a	1.6	0.63168	1.0	n/a	1.0	4	1.0	1.0	n/a	5.0	1.0	62.0	20.0	8.0	8.00165	7.99666
21.002869	2.0	Object2Back	nBackPic2	n/a	1.6	0.94386	1.0	n/a	1.0	4	1.0	1.0	n/a	6.0	1.0	62.0	22.0	10.0	10.0014	9.9983
23.002669	2.0	Object2Back	nBackPic2	n/a	1.6	0.0	1.0	n/a	0.0	4	2.0	0.0	n/a	7.0	0.0	62.0	24.0	12.0	12.0012	11.9964
25.002869	2.0	Object2Back	nBackPic2	n/a	1.6	0.0	1.0	n/a	1.0	4	1.0	0.0	n/a	8.0	0.0	62.0	26.0	14.0	14.0014	13.99644
27.003069	2.0	Object2Back	nBackPic2	n/a	1.6	0.6170800000000001	1.0	n/a	1.0	4	1.0	1.0	n/a	9.0	1.0	62.0	28.0	16.0	16.0016	15.99665
29.002769	2.0	Object2Back	nBackPic2	n/a	1.6	0.0	1.0	n/a	0.0	4	2.0	0.0	n/a	10.0	0.0	62.0	30.0	18.0	18.0013	17.99631
31.003269	2.0	Object2Back	nBackPic2	n/a	1.6	0.0	1.0	n/a	0.0	4	2.0	0.0	n/a	11.0	0.0	62.0	32.0	20.0	20.0018	19.99605
33.002069	2.0	Object2Back	nBackPic2	n/a	1.6	0.0	1.0	n/a	0.0	4	2.0	0.0	n/a	12.0	0.0	62.0	34.0	22.0	22.0006	21.99733
35.003469	2.0	Object2Back	nBackPic2	n/a	1.6	0.0	1.0	n/a	0.0	4	2.0	0.0	n/a	13.0	0.0	62.0	36.0	24.0	24.002	23.99719
37.002669	2.0	Object2Back	nBackPic2	n/a	1.6	0.0	1.0	n/a	0.0	4	2.0	0.0	n/a	14.0	0.0	62.0	38.0	26.0	26.0012	25.99818
39.003069	2.0	Object2Back	nBackPic2	n/a	1.6	0.0	1.0	n/a	0.0	4	2.0	0.0	n/a	15.0	0.0	62.0	40.0	28.0	28.0016	27.9963
41.58005503	5.0	Instruct	instruct2	n/a	5.0	n/a	n/a	n/a	n/a	4	n/a	n/a	n/a	0.0	n/a	n/a	n/a	n/a	n/a	n/a
46.58005503	30.0	NatureMovie	natureMovie	n/a	29.9	n/a	2.0	n/a	n/a	4	1.0	n/a	n/a	1.0	n/a	62.0	47.0	0.0	3.503e-05	-0.0974311
76.3750496	5.0	Instruct	instruct2	n/a	5.0	n/a	n/a	n/a	n/a	4	n/a	n/a	n/a	0.0	n/a	n/a	n/a	n/a	n/a	n/a
81.3750496	3.33	MentalRotEasy	mentalRotation	2.0	3.15	1.5406	3.0	n/a	n/a	4	1.0	0.0	1.0	1.0	1.0	62.0	81.0	0.0	0.0808096	-0.002897323
84.62529	3.33	MentalRotEasy	mentalRotation	1.0	3.15	0.99577	3.0	n/a	n/a	4	1.0	1.0	0.0	2.0	1.0	62.0	84.0	3.33	3.33105	2.998847
87.95515	3.33	MentalRotEasy	mentalRotation	1.0	3.15	1.1271	3.0	n/a	n/a	4	1.0	1.0	0.0	3.0	1.0	62.0	87.0	6.66	6.66091	5.995857
91.28497	3.33	MentalRotMed	mentalRotation	2.0	3.15	1.3902	3.0	n/a	n/a	4	2.0	1.0	0.0	4.0	1.0	62.0	90.0	9.99	9.99073	8.994886
94.61434	3.33	MentalRotMed	mentalRotation	1.0	3.15	1.2942	3.0	n/a	n/a	4	2.0	1.0	0.0	5.0	1.0	62.0	94.0	13.32	13.3201	12.99957
97.94464	3.33	MentalRotMed	mentalRotation	1.0	3.15	1.4185	3.0	n/a	n/a	4	2.0	0.0	1.0	6.0	1.0	62.0	97.0	16.65	16.6504	15.99634
101.27504	3.33	MentalRotHard	mentalRotation	1.0	3.15	1.6166	3.0	n/a	n/a	4	3.0	0.0	1.0	7.0	1.0	62.0	100.0	19.98	19.9808	18.9968
104.60524	3.33	MentalRotHard	mentalRotation	2.0	3.15	1.4017	3.0	n/a	n/a	4	3.0	1.0	0.0	8.0	1.0	62.0	104.0	23.31	23.311	22.99516
107.98893999999999	3.33	MentalRotHard	mentalRotation	2.0	3.15	1.4435	3.0	n/a	n/a	4	3.0	1.0	0.0	9.0	1.0	62.0	107.0	26.694000000000006	26.6947	25.99471
111.17536402100001	5.0	Instruct	instruct2	n/a	5.0	n/a	n/a	n/a	n/a	4	n/a	n/a	n/a	0.0	n/a	n/a	n/a	n/a	n/a	n/a
116.17536402100001	15.0	VideoActions	actionObservation2	n/a	14.0	n/a	4.0	n/a	n/a	4	1.0	n/a	n/a	1.0	n/a	62.0	116.0	0.0	6.4021e-05	-0.09873341
131.2144	15.0	VideoKnots	actionObservation2	n/a	14.0	n/a	4.0	n/a	n/a	4	2.0	n/a	n/a	2.0	n/a	62.0	121.0	15.0	15.0391	13.914
146.523087814	5.0	Instruct	instruct2	n/a	5.0	n/a	n/a	n/a	n/a	4	n/a	n/a	n/a	0.0	n/a	n/a	n/a	n/a	n/a	n/a
151.523087814	3.75	FingerSimple	motorSequence2	n/a	3.35	2.8339	5.0	n/a	n/a	4	1.0	6.0	0.0	1.0	6.0	62.0	137.0	0.0	8.7814e-05	-0.0060112080000000005
155.27316000000002	3.75	FingerSimple	motorSequence2	n/a	3.35	2.5361	5.0	n/a	n/a	4	1.0	6.0	0.0	2.0	6.0	62.0	140.0	3.75	3.75016	2.995753
159.02411999999995	3.75	FingerSimple	motorSequence2	n/a	3.35	2.4384	5.0	n/a	n/a	4	1.0	6.0	0.0	3.0	6.0	62.0	144.0	7.5	7.5011199999999985	6.992322
162.7737	3.75	FingerSimple	motorSequence2	n/a	3.35	1.9704	5.0	n/a	n/a	4	1.0	6.0	0.0	4.0	6.0	62.0	148.0	11.25	11.2507	10.9924
166.5233	3.75	FingerSeq	motorSequence2	n/a	3.35	3.1696	5.0	n/a	n/a	4	2.0	5.0	0.0	5.0	5.0	62.0	152.0	15.0	15.0003	14.99161
170.2731	3.75	FingerSeq	motorSequence2	n/a	3.35	2.9723	5.0	n/a	n/a	4	2.0	4.0	2.0	6.0	6.0	62.0	155.0	18.75	18.7501	17.99382
174.0238	3.75	FingerSeq	motorSequence2	n/a	3.35	3.2215	5.0	n/a	n/a	4	2.0	6.0	0.0	7.0	6.0	62.0	159.0	22.5	22.5008	21.99256
177.7737	3.75	FingerSeq	motorSequence2	n/a	3.35	3.301	5.0	n/a	n/a	4	2.0	6.0	0.0	8.0	6.0	62.0	163.0	26.25	26.2507	25.99188
181.18743442	5.0	Instruct	instruct2	n/a	5.0	n/a	n/a	n/a	n/a	4	n/a	n/a	n/a	0.0	n/a	n/a	n/a	n/a	n/a	n/a
186.18743442	30.0	LandscapeMovie	landscapeMovie	n/a	29.9	n/a	6.0	n/a	n/a	4	1.0	n/a	n/a	1.0	n/a	62.0	172.0	0.0	3.442e-05	-0.08820852
216.23912997	5.0	Instruct	instruct2	n/a	5.0	n/a	n/a	n/a	n/a	4	n/a	n/a	n/a	0.0	n/a	n/a	n/a	n/a	n/a	n/a
